2023/11/05 19:50:06 [notice] 27476#20412: signal process started
2023/12/08 11:02:09 [error] 37844#37600: *2050 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:02:10 [error] 37844#37600: *2053 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/info?t=1702029727779 HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/info?t=1702029727779", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:23:44 [error] 37844#37600: *2058 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:23:44 [error] 37844#37600: *2057 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:23:45 [error] 37844#37600: *2062 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/info?t=1702031023012 HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/info?t=1702031023012", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:24:04 [error] 37844#37600: *2058 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:24:04 [error] 37844#37600: *2057 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:24:05 [error] 37844#37600: *2062 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/info?t=1702031043460 HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/info?t=1702031043460", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:48:23 [error] 37844#37600: *2330 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:48:23 [error] 37844#37600: *2329 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:48:24 [error] 37844#37600: *2335 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:48:24 [error] 37844#37600: *2336 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/info?t=1702057702764 HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/info?t=1702057702764", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:48:25 [error] 37844#37600: *2339 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:50:03 [error] 37844#37600: *2341 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:50:03 [error] 37844#37600: *2342 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:52:46 [error] 37844#37600: *2351 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:52:46 [error] 37844#37600: *2352 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:52:59 [error] 37844#37600: *2361 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/user/login HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/login", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 18:53:02 [error] 37844#37600: *2361 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/user/login HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/login", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 22:32:24 [error] 37844#37600: *2696 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 22:32:24 [error] 37844#37600: *2695 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:37 [error] 37844#37600: *8779 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:37 [error] 37844#37600: *8784 WSASend() failed (10054: An existing connection was forcibly closed by the remote host) while sending request to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:39 [error] 37844#37600: *8769 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:39 [error] 37844#37600: *8795 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:39 [error] 37844#37600: *8775 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:39 [error] 37844#37600: *8779 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:39 [error] 37844#37600: *8784 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:39 [error] 37844#37600: *8765 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:41 [error] 37844#37600: *8795 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:41 [error] 37844#37600: *8769 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:41 [error] 37844#37600: *8779 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:41 [error] 37844#37600: *8775 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:41 [error] 37844#37600: *8784 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/09 00:59:41 [error] 37844#37600: *8765 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "PUT /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
